LA,LMA,Nmass,SM,SSD,H,Species1,Biogeo_status
10400.04,198.2684682,6.062063333,0.0265,0.389439814,0.4,Aeonium canariense,TE
1679.8485,166.8801284,10.2946975,0.1,0.419582333,1,Aeonium ciliatum,TE
10202.06444,129.0915194,8.864043333,0.023,0.415386328,1.2,Aeonium cuneatum,TE
2128.18919,106.5473023,8.537447983,0.0255,0.445342622,0.6,Aeonium decorum,TE
425.5755,81.06669674,8.63918,0.358554571,0.4681485,0.5,Aeonium lindleyi,TE
3936.0712,270.913121,8.415253333,0.0195,0.384444,0.6,Aeonium pseudourbicum,TE
575.175,105.4751452,12.06684333,0.089,0.288473333,0.6,Aeonium smithii,TE
972.4886667,78.83553742,4.584776667,0.0276,0.238987,0.6,Aeonium tabulaeforme,TE
4066.661,271.7626738,9.614633333,0.058,0.371798,0.9,Aeonium urbicum,TE
395.938,145.6456987,8.556913333,0.0355,0.731021,0.4,Aeonium volkerii,TE
862.383,34.78732767,27.654595,0.920629333,0.109623333,0.65,Aichryson pachycaulon,TE
1091.460651,69.8591302,20.4110422,0.156749048,0.281602363,0.2,Aichryson porphyrogennetos,TE
838.5981529,61.16818937,20.5221512,0.186316,0.297371573,0.15,Aichryson tortuosum,TE
1464.560667,31.18113691,31.96253,5.336,0.413522,1.2,Argyranthemum adauctum,TE
2001.155667,74.01972893,27.567755,1.93,0.58885325,1.5,Argyranthemum broussonetii,TE
228.548,86.05048684,15.56611667,2.39,0.44058,1,Argyranthemum foeniculaceum,TE
180.237,50.55010902,19.64173,3.494,0.508309,1.2,Argyranthemum gracile,TE
600.1253333,57.76571116,21.20759,5.222,0.622538333,0.5,Argyranthemum lemsii,TE
187.5866667,97.73082664,17.14525,0.6,0.504775,0.9,Argyranthemum sundingii,TE
298.9966667,89.55841202,20.95407,2.99,0.478274667,0.5,Argyranthemum tenerifae,TE
765.59,65.30910801,24.10278667,1.154113333,0.52486,1,Sonchus microcarpus,TE
3580.575912,78.1772344,18.66334403,3.923099746,0.405893,3,Bystropogon odoratissimus,TE
297.5988571,94.08638282,18.34980667,1.393565556,0.552686667,1.5,Bystropogon plumosus,TE
200.813,71.37652111,14.12251333,9.898110842,0.307711333,0.7,Carduus volutarioides,TE
1817.13625,95.20474868,16.73057333,0.442,0.197999,1.6,Carex paniculata,TE
