Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.
Abarema jupunba,369.48,28.815,72.118,35,122.9509,0.55
Abies alba,32.42,26.4,106.045,42.074,62.0067,0.499
Abies balsamea,35,14.081,140.028,17.977,6.7106,0.42
Abies concolor,75.99,13.003,208.855,43.946,34.7189,0.4
Abies fraseri,34.6,17.839,182.054,20.356,7.1389,0.525
Abies grandis,180,14.6,212.766,54.917,17.579,0.42
Abies lasiocarpa,35.04,13.439,276.007,26.655,12.6603,0.32
Abutilon theophrasti,15964.06,39.3,41.157,1.5,8.4909,0.212
Acacia aneura,180.18,17.326,377.191,5.522,15.1146,0.971
Acacia aroma,3.07,32.485,122.256,2.031,55.79,0.8
Acacia auriculiformis,4000,21.037,105.063,30,19.0136,0.511
Acacia caven,1.15,28.733,83.795,3.331,100.9178,0.869
Acacia doratoxylon,577.33,20.233,236.505,5.44,13.6506,0.78
Acacia furcatispina,3.07,35.32,189.367,1.88,51.35,0.909
Acacia gerrardii,1807.92,28.219,161.657,11,67.8622,0.77
Acacia karroo,100,21.563,113.966,5.705,17.6437,0.68
Acacia koa,2042.29,24.987,119.989,18.44,140.2733,0.61
Acacia mangium,9050,23.391,65.789,12,14.1439,0.49
Acacia mearnsii,1.8,26.296,106.029,4.387,14.0075,0.625
Acacia melanoxylon,1088.96,24.1,120.024,9.206,12.9895,0.529
Acacia mellifera,154.86,44.339,181.159,3.78,63.0757,0.94
Acacia nilotica,1691.79,19.87,192.764,5.35,133.5694,0.771
Acacia oswaldii,153.92,18.463,264.027,4.273,77.1529,0.97
Acacia praecox,5.85,31.64,105.91,5,73,0.838
Acacia robusta,8198.9,22.711,139.008,7.954,134.8674,0.73
Acalypha communis,312.87,42.004,128.101,0.233,0.95,0.251
Acalypha virginica,1351.62,24.567,34.457,0.91,0.6394,0.222
Acer buergerianum,700,23.44,52.021,21.544,11,0.62
Acer campestre,3146.41,21.331,72.148,12.217,122,0.607
Acer macrophyllum,11632.91,26.4,33.852,22.451,130.5233,0.468
Acer monspessulanum,1232.88,19.562,84.904,7.666,26.6805,0.9
Acer pensylvanicum,12989.32,20.769,35.092,12.762,39.7423,0.44
Acer pictum,2600.94,16,39.347,18.317,28.7102,0.626
Acer platanoides,7085.13,19.417,51.661,21.926,121.5964,0.584
Acer pseudoplatanus,8456.57,23.626,72.118,24.463,64.6069,0.563
Acer rubrum,2989.66,17.809,58.657,14.119,21.9339,0.568
Acer saccharinum,4605.58,23.66,51.099,33.665,156.1993,0.51
Acer saccharum,4735.7,18.048,46.151,32.935,52.8034,0.66
Achillea leptophylla,20.97,18.478,188.122,0.042,0.09,0.231
Achillea millefolium,627.23,20.548,72.415,0.313,0.1428,0.231
Acinos alpinus,76.63,16.1,67.864,0.171,1.6,0.265
Acorus calamus,8953.14,18,62.538,0.967,2.3701,0.215
Acronychia pedunculata,5083.92,21,103.093,13.66,129.868,0.451
Actaea spicata,21940.22,23.003,26.925,0.464,6.2782,0.224
Adansonia digitata,8641.36,21.912,67.569,20,483.6321,0.27
Adelia triloba,3491.45,28.62,38.417,19.213,91.8456,0.594
Adenostoma fasciculatum,5.69,10.19,232.086,3.491,0.9578,0.75
Adenostyles alpina,18139.15,26.194,49.604,0.512,1.38,0.171
Adoxa moschatellina,1807.64,37.242,26.15,0.085,32.315,0.164
Aegilops geniculata,37,28.611,42.702,0.085,13.0511,0.234
Aegopodium podagraria,2761.61,27.494,35.335,0.621,2.2244,0.1
Aesculus californica,1740.56,20.354,62.729,10.711,36733.6553,0.48
Aesculus hippocastanum,5885.85,22.014,75.341,17.036,9672.3883,0.5
Afrocarpus falcatus,219.96,12.221,210.951,30,458.5813,0.52
Ageratina liebmannii,2076.71,29.068,31.915,0.9,0.1931,0.201
Agoseris glauca,520,17.17,50.251,0.182,1.1523,0.172
Agrimonia eupatoria,4557.53,16.545,54.608,0.487,6.7809,0.247
Agropyron cristatum,167.75,15.25,111.902,0.429,2.829,0.388
Agropyron desertorum,290,23.15,112.36,0.387,2.1044,0.376
Agrostemma githago,999.75,23.065,56.402,0.745,13.7424,0.201
Agrostis canina,81.07,23.27,35.604,0.264,0.0578,0.239
Agrostis capillaris,167.15,22.561,35.547,0.267,0.0593,0.239
Agrostis hyemalis,79.06,17.131,78.628,0.695,0.0489,0.309
Agrostis scabra,90,11.136,102.215,0.76,0.0573,0.434
Agrostis stolonifera,234.16,29.166,31.666,0.365,0.0403,0.241
Agrostis vinealis,96.47,27.393,48.177,0.188,0.0432,0.294
Aira caryophyllea,12.87,27.395,62.945,0.144,0.1224,0.212
Ajuga chamaepitys,70.5,18.539,44.484,0.098,1.4685,0.174
Alangium chinense,10842.62,25.722,36.01,14.697,52.08,0.386
Albizia adianthifolia,144.82,31.19,96.154,6.694,67.56,0.502
Albizia niopoides,12.82,28.64,110.619,40,24.4949,0.59
Albizia saman,675,31.169,149.11,34.4,176.599,0.499
Alchemilla glaucescens,1523.04,17.8,55.402,0.161,0.4655,0.245
Alchemilla monticola,2594.75,25.1,56.051,0.156,0.4387,0.163
Alchemilla pinnata,261.74,20.821,71.143,0.031,0.2912,0.225
Alchemilla xanthochlora,5234.06,26.775,48.962,0.279,0.3002,0.226
Alchornea costaricensis,3263.47,22.297,62.664,25.51,35.2428,0.333
Alchornea latifolia,7668.14,16.325,77.473,15.779,34,0.429
Alibertia edulis,2855.08,33.77,62.428,11.268,14.2226,0.777
Alisma gramineum,4825.48,32.734,43.501,0.233,0.4197,0.056
Alliaria petiolata,2958.08,42.443,23.232,0.438,2.9344,0.37
Allium carinatum,1280,22.76,47.505,0.357,1.2264,0.1
Allium ericetorum,267.73,28.213,107.91,0.247,1.57,0.15
Allium senescens,359.5,27.29,76.22,0.153,1.68,0.127
Allium sphaerocephalon,1940.63,27.031,175.439,0.322,1.451,0.118
Allium ursinum,6408.8,36.931,27.597,0.306,5.2528,0.096
Allophylus amazonicus,6136.09,19.85,56.964,10,78.63,0.55
Allophylus camptostachys,1515.43,11.293,107.354,15,120,0.77
Allophylus cobbe,5381.53,15.39,89.537,24.073,365.816,0.528
Allophylus psilospermus,3575.73,34.39,39.492,18.963,48.5897,0.535
Alnus cordata,5482.87,27.095,44.121,18.841,3.5062,0.391
Alnus glutinosa,3070.29,30.938,68.113,17.798,1.601,0.459
Alnus incana,2583.96,33.702,55.298,9.535,0.6649,0.468
Alnus rhombifolia,3646.68,27.508,58.045,23.726,0.5591,0.52
Alopecurus pratensis,1156.15,23.824,39.355,0.597,0.7868,0.432
Aloysia gratissima,216.59,38.3,126.543,1.85,0.26,0.79
Alseis blackiana,8874.62,31.978,50.152,31.106,0.1276,0.547
Alstonia scholaris,6510.48,22.3,107.066,16.295,5.8946,0.368
Alternanthera pungens,314.16,38.968,38.872,0.11,0.33,0.206
Amaioua corymbosa,8545.77,17.931,67.99,15.147,9.74,0.675
Amaranthus deflexus,886.56,43.493,28.815,0.32,0.4228,0.159
Amaranthus hybridus,2139.07,35.38,51.691,0.671,0.4796,0.199
Amaranthus powellii subsp. bouchonii,1820.03,43.575,42.46,0.528,0.3999,0.199
Amaranthus retroflexus,3379.06,32.544,59.983,0.464,0.3976,0.21
Amauriopsis dissecta,810,22.13,81.301,0.6,0.435,0.18
Ambrosia artemisiifolia,650.16,25.5,39.867,0.695,3.9899,0.208
Ambrosia dumosa,198.92,28.003,35.278,0.346,2.4942,0.711
Ambrosia psilostachya,461.55,20.362,69.176,0.525,6.3926,0.279
Ambrosia salsola,341.9,27.092,132.858,1.225,5.5906,0.69
Ambrosia tenuifolia,451.94,28.067,89.966,0.343,5.3,0.211
Ambrosia trifida,5202.03,44.1,45.68,1.068,11.1259,0.193
Amelanchier utahensis,320.7,23.8,79.733,4.692,22.2488,0.79
Ammophila arenaria,1868.31,12.437,145.422,0.728,3.4589,0.361
Anacardium excelsum,12848.51,16.557,77.142,37.378,2306.4163,0.432
Anagallis arvensis,130.6,28.86,32.278,0.148,0.4528,0.166
Anagallis arvensis subsp. foemina,240.5,22.246,35.273,0.129,0.4548,0.185
Anagallis tenella,13,7.04,29.827,0.079,0.1029,0.15
Anaphalis margaritacea,1465.02,17.764,69.518,0.634,0.0445,0.251
Andira inermis,1783.46,31.448,51.879,24.377,1346.463,0.641
Andromeda polifolia,39.87,14.476,134.494,0.195,0.1666,0.311
Andropogon gerardii,1354.37,12.034,54.138,1.356,1.9015,0.262
Andropogon virginicus,664.88,13.3,84.317,0.21,0.3309,0.25
Androsace septentrionalis,17.96,19.49,41.568,0.047,0.1624,0.177
Anemone alpina,2014.38,29.252,56.703,0.239,6.68,0.205
Anemone canadensis,2932,11,53.967,0.395,2.6452,0.237
Anemone montana,597.03,30.708,63.464,0.131,2.36,0.215
Anemone nemorosa,2924.11,29.355,35.463,0.183,2.3673,0.189
Anemone pulsatilla,1669.11,15,100.47,0.178,3.245,0.216
Anemone quinquefolia,1600.21,15.3,27.479,0.277,1.13,0.175
Anemone ranunculoides,1424.07,28.7,27.25,0.146,1.937,0.19
Angelica archangelica,3006.4,30.227,53.861,1.214,4.087,0.19
Angelica sylvestris,5112.75,30.249,42.561,0.821,1.1522,0.197
Annona acuminata,1716.39,22.19,56.24,4.5,37.074,0.65
Annona spraguei,20779.04,23.653,49.494,20.02,38.1548,0.514
Anogeissus leiocarpa,738,19.857,67.981,3.674,6.5862,0.8
Antennaria dioica,68.03,14.001,58.229,0.115,0.0466,0.24
Antennaria parvifolia,66,15.29,78.74,0.01,0.0648,0.237
Antennaria rosulata,30,15.91,53.476,0.01,0.07,0.248
Anthemis arvensis,246.68,17.01,44.732,0.207,0.6049,0.375
Anthemis cotula,1919.84,32.733,53.667,0.427,0.4683,0.183
Anthemis cretica,154.76,24.44,71.633,0.25,0.69,0.185
Anthemis marschalliana,7,18.53,66.225,0.145,0.4,0.232
Anthericum ramosum,1733.5,12.015,42.535,0.437,4.1978,0.145
Anthoxanthum odoratum,341.58,19.624,43.628,0.229,0.3945,0.2
Anthriscus sylvestris,720.62,27.966,32.749,0.836,4.1188,0.205
Anthyllis montana,346,24.1,79.442,0.063,3.5481,0.243
Anthyllis vulneraria,182.18,28.98,65.641,0.133,5.8209,0.189
